id,Color,Platform
56253,#cc0000,bu
52342,#9e1b34,temple
28478,#f2c413,ucf
17801,#07294d,baiada
13470,#0e529a,depaul
55812,#f58220,utep
55913,#e87500,utdallas
44242,#8b1f41,asu
56355,#00549f,erau
55261,#f04f23,utrgv
33211,#f2c413,ucf
56297,#1f395a,evanstonnu
48560,#fa3927,cornell
57455,#00549f,erau
44565,#9e1b34,temple
57451,#9e1b34,temple
57081,#8b1f41,asu
55827,#b01f24,unlv
56476,#8b1f41,asu
45925,#004f30,hawaii
56518,#e87500,utdallas
58839,#003091,ie
47159,#8b1f41,asu
57444,#469ed9,umanitoba
48247,#9e1b34,temple
16649,#8b1f41,asu
57526,#8b1f41,asu
57557,#f04f23,utrgv
11986,#18453b,msu
49071,#8b1f41,asu
51376,#18453b,msu
38231,#FFFFFF,NALL
57447,#430b00,rowan
57188,#18453b,msu
57594,#18453b,msu
57685,#8b1f41,asu
57162,#9e1b34,temple
57496,#8b1f41,asu
45126,#9e1b34,temple
45190,#9e1b34,temple
57373,#9e1b34,temple
49402,#8b1f41,asu
56089,#9e1b34,temple
16650,#8b1f41,asu
50007,#00549f,erau
45198,#9e1b34,temple
51856,#18453b,msu
57500,#9e1b34,temple
57712,#9e1b34,temple
58157,#a50000,bradley
51919,#4b2e83,washington
58222,#18453b,msu
57764,#a61d31,harvard
52321,#8b1f41,asu
57016,#8b1f41,asu
31185,#f1b82d,missouri
55915,#8b1f41,asu
24383,#f1b82d,missouri
51864,#8b1f41,asu
57865,#18453b,msu
56540,#fa3927,cornell
57249,#18453b,msu
58714,#18453b,msu
52520,#1f395a,evanstonnu
47062,#8b1f41,asu
57100,#18453b,msu
17767,#07294d,baiada
18695,#07294d,baiada
53363,#e87500,utdallas
57077,#8b1f41,asu
57612,#a50000,bradley
57748,#a50000,bradley
57472,#8b1f41,asu
50928,#8b1f41,asu
58536,#469ed9,umanitoba
57608,#fa3927,cornell
52728,#8b1f41,asu
45732,#9e1b34,temple
57155,#18453b,msu
56960,#fa3927,cornell
58353,#a50000,bradley
46767,#fdca21,bowiestate
57251,#18453b,msu
57715,#FFFFFF,NALL
58355,#a50000,bradley
57283,#18453b,msu
45971,#8b1f41,asu
55831,#e87500,utdallas
16627,#8b1f41,asu
56059,#9e1b34,temple
52558,#18453b,msu
56070,#004f30,hawaii
56776,#fdca21,bowiestate
49200,#990000,usc
49674,#74b1de,columbia
51372,#18453b,msu
56303,#a50000,bradley
57913,#9e1b34,temple
57706,#fa3927,cornell
58782,#003091,ie
58853,#003091,ie
37684,#8b1f41,asu
55770,#430b00,rowan
57486,#8b1f41,asu
49533,#8b1f41,asu
57030,#8b1f41,asu
56489,#8b1f41,asu
57528,#fdca21,bowiestate
57708,#fdca21,bowiestate
52774,#e87500,utdallas
52052,#003091,ie
52788,#8b1f41,asu
52750,#1f395a,evanstonnu
44985,#74b1de,columbia
49498,#8b1f41,asu
49605,#8b1f41,asu
52772,#fa3927,cornell
52826,#01235d,ucsd
49888,#01235d,ucsd
45191,#07294d,baiada
50324,#74b1de,columbia
2540,#01235d,ucsd
57574,#469ed9,umanitoba
52827,#01235d,ucsd
43738,#0e529a,depaul
50030,#e87500,utdallas
56967,#8b1f41,asu
46422,#990000,usc
48951,#01235d,ucsd
49578,#01235d,ucsd
52803,#fa3927,cornell
47662,#990000,usc
29088,#990000,usc
28949,#990000,usc
46508,#990000,usc
52015,#003091,ie
13227,#fa3927,cornell
52220,#74b1de,columbia
7005,#fa3927,cornell
57109,#e87500,utdallas
58826,#003091,ie
45153,#990000,usc
23495,#FFFFFF,NALL
46076,#8b1f41,asu
24484,#990000,usc
52910,#01235d,ucsd
56841,#fdca21,bowiestate
20515,#900026,iona
57875,#18453b,msu
57760,#990000,usc
58093,#18453b,msu
55336,#18453b,msu
56844,#fdca21,bowiestate
55567,#18453b,msu
46194,#2b1a5e,rihub
58094,#00549f,erau
52943,#01235d,ucsd
12462,#723130,trinity
50276,#9e1b34,temple
52029,#003091,ie
43722,#2b1a5e,rihub
52906,#e87500,utdallas
27759,#cc0000,bu
44816,#9e1b34,temple
31397,#004f30,hawaii
52091,#9e1b34,temple
50543,#74b1de,columbia
52047,#003091,ie
49903,#01235d,ucsd
47470,#f1b82d,missouri
47613,#fa3927,cornell
52048,#003091,ie
48015,#8b1f41,asu
44213,#1f395a,evanstonnu
52978,#e87500,utdallas
52985,#e87500,utdallas
50164,#cc0000,bu
52765,#fa3927,cornell
49549,#01235d,ucsd
12804,#07294d,baiada
52086,#8b1f41,asu
53014,#9e1b34,temple
52919,#e87500,utdallas
52035,#003091,ie
52246,#003091,ie
58833,#003091,ie
56852,#FFFFFF,NALL
51373,#18453b,msu
57510,#f2c413,ucf
58999,#71002e,umt
57118,#18453b,msu
58867,#723130,trinity
58772,#003091,ie
58793,#003091,ie
58759,#003091,ie
58852,#003091,ie
58752,#003091,ie
58337,#07294d,baiada
58756,#003091,ie
58812,#003091,ie
58770,#003091,ie
57591,#18453b,msu
2296,#fa3927,cornell
56040,#FFFFFF,NALL
21051,#FFFFFF,NALL
58481,#8b1f41,asu
57546,#FFFFFF,NALL
56758,#FFFFFF,NALL
57738,#FFFFFF,NALL
49866,#f2c413,ucf
34311,#cc0000,bu
35080,#07294d,baiada
45197,#9e1b34,temple
45058,#2b1a5e,rihub
56627,#00549f,erau
55582,#f58220,utep
16370,#b01f24,unlv
27790,#FFFFFF,NALL
46607,#2b1a5e,rihub
56654,#8b1f41,asu
44822,#1f395a,evanstonnu
48257,#990000,usc
52650,#00549f,erau
58591,#fa3927,cornell
45188,#9e1b34,temple
58797,#003091,ie
50856,#74b1de,columbia
18749,#8b1f41,asu
29004,#f1b82d,missouri
52553,#9e1b34,temple
48014,#fa3927,cornell
58740,#74b1de,columbia
56800,#fdca21,bowiestate
56819,#f2c413,ucf
39349,#723130,trinity
49552,#01235d,ucsd
55167,#990000,usc
56866,#f2c413,ucf
58068,#FFFFFF,NALL
58197,#fa3927,cornell
58003,#FFFFFF,NALL
58029,#FFFFFF,NALL
57358,#4b2e83,washington
53418,#18453b,msu
58808,#003091,ie
58009,#FFFFFF,NALL
57284,#18453b,msu
55660,#18453b,msu
57791,#FFFFFF,NALL
58795,#003091,ie
55650,#18453b,msu
47114,#cc0000,bu
29210,#f1b82d,missouri
52271,#01235d,ucsd
58254,#0e529a,depaul
55710,#f58220,utep
58257,#74b1de,columbia
58814,#003091,ie
52953,#e87500,utdallas
52041,#003091,ie
51985,#003091,ie
52008,#003091,ie
52022,#003091,ie
46706,#990000,usc
48915,#990000,usc
53185,#74b1de,columbia
51992,#003091,ie
53107,#003091,ie
49082,#FFFFFF,NALL
58894,#990000,usc
58582,#8b1f41,asu
57136,#8b1f41,asu
57779,#18453b,msu
57902,#9e1b34,temple
53061,#74b1de,columbia
53015,#8b1f41,asu
51696,#4b2e83,washington
52261,#8b1f41,asu
50382,#01235d,ucsd
57267,#9e1b34,temple
51303,#9e1b34,temple
53200,#07294d,baiada
53255,#9e1b34,temple
6819,#07294d,baiada
42598,#4b2e83,washington
47430,#fa3927,cornell
43415,#fa3927,cornell
52545,#e87500,utdallas
53254,#74b1de,columbia
56615,#fdca21,bowiestate
52267,#f04f23,utrgv
42476,#74b1de,columbia
45976,#FFFFFF,NALL
19943,#07294d,baiada
53551,#9e1b34,temple
51988,#003091,ie
49263,#01235d,ucsd
37385,#fa3927,cornell
53556,#004f30,hawaii
53396,#469ed9,umanitoba
57563,#f2c413,ucf
58643,#9e1b34,temple
55090,#74b1de,columbia
58876,#18453b,msu
48204,#9e1b34,temple
55166,#430b00,rowan
53429,#fa3927,cornell
40777,#990000,usc
55199,#fa3927,cornell
19987,#4b2e83,washington
16572,#18453b,msu
58791,#003091,ie
58837,#003091,ie
59065,#003091,ie
55252,#9e1b34,temple
15710,#FFFFFF,NALL
58491,#004f30,hawaii
51924,#9e1b34,temple
55653,#18453b,msu
58543,#0e529a,depaul
57295,#fa3927,cornell
58766,#003091,ie
58810,#003091,ie
58846,#003091,ie
50577,#9e1b34,temple
58806,#003091,ie
58851,#003091,ie
58804,#003091,ie
58843,#003091,ie
58827,#003091,ie
58819,#003091,ie
58850,#003091,ie
58758,#003091,ie
58761,#003091,ie
44172,#FFFFFF,NALL
44641,#9e1b34,temple
59167,#8b1f41,asu
58765,#003091,ie
58796,#003091,ie
58834,#003091,ie
58786,#003091,ie
58848,#003091,ie
58788,#003091,ie
58820,#003091,ie
58783,#003091,ie
58816,#003091,ie
58755,#003091,ie
58832,#003091,ie
58792,#003091,ie
58785,#003091,ie
59145,#011a47,ucsf
19985,#4b2e83,washington
44061,#9e1b34,temple
40607,#fa3927,cornell
49023,#fa3927,cornell
58333,#fa3927,cornell
58789,#003091,ie
58822,#003091,ie
46579,#8b1f41,asu
60753,#f56600,clemson
58836,#003091,ie
58997,#011a47,ucsf
57222,#18453b,msu
58469,#18453b,msu
59612,#fa3927,cornell
58815,#003091,ie
58768,#003091,ie
59718,#8b1f41,asu
53013,#9e1b34,temple
46934,#fa3927,cornell
52748,#18453b,msu
57164,#fa3927,cornell
58847,#003091,ie
35418,#cc0000,bu
55125,#cc0000,bu
58800,#003091,ie
46327,#fa3927,cornell
59858,#4b2e83,washington
59273,#fa3927,cornell
59860,#e87500,utdallas
58775,#003091,ie
59002,#003091,ie
57300,#e87500,utdallas
58831,#003091,ie
59902,#fa3927,cornell
59898,#fa3927,cornell
59906,#f04f23,utrgv
35329,#a61d31,harvard
59656,#a61d31,harvard
58865,#003091,ie
58189,#fa3927,cornell
59827,#fa3927,cornell
59929,#18453b,msu
32007,#fa3927,cornell
60023,#fa3927,cornell
49152,#fa3927,cornell
2127,#fa3927,cornell
49411,#8b1f41,asu
50913,#8b1f41,asu
28593,#8b1f41,asu
60029,#fa3927,cornell
60031,#18453b,msu
60030,#18453b,msu
60032,#18453b,msu
59914,#18453b,msu
60038,#18453b,msu
59915,#18453b,msu
59509,#8b1f41,asu
59940,#fa3927,cornell
36727,#4b2e83,washington
60034,#18453b,msu
59743,#f04f23,utrgv
60068,#fa3927,cornell
60069,#8b1f41,asu
56243,#004f30,hawaii
11863,#fa3927,cornell
58466,#8b1f41,asu
58226,#8b1f41,asu
57241,#18453b,msu
60147,#8b1f41,asu
60148,#18453b,msu
60182,#9e1b34,temple
44487,#fa3927,cornell
60017,#a50000,bradley
60222,#01235d,ucsd
43781,#0e529a,depaul
53295,#fa3927,cornell
58835,#003091,ie
58779,#003091,ie
58854,#003091,ie
60311,#fa3927,cornell
30704,#f2c413,ucf
13286,#fa3927,cornell
60048,#a50000,bradley
60289,#f04f23,utrgv
60335,#9e1b34,temple
59696,#8b1f41,asu
30698,#f2c413,ucf
50178,#fa3927,cornell
60088,#01235d,ucsd
16640,#8b1f41,asu
60378,#07294d,baiada
59880,#e87500,utdallas
42523,#74b1de,columbia
59587,#fdca21,bowiestate
54135,#74b1de,columbia
52198,#18453b,msu
53203,#18453b,msu
60456,#74b1de,columbia
59862,#2b1a5e,rihub
16653,#8b1f41,asu
60365,#990000,usc
60361,#f2c413,ucf
57746,#8b1f41,asu
45194,#9e1b34,temple
60106,#fdca21,bowiestate
56921,#f04f23,utrgv
60487,#fa3927,cornell
60509,#9e1b34,temple
60525,#f04f23,utrgv
5916,#fa3927,cornell
60269,#f04f23,utrgv
46790,#f04f23,utrgv
2513,#18453b,msu
60471,#01235d,ucsd
52066,#74b1de,columbia
