from,to,weight,Color1,Title1
53546,53188,1,#01235d,ucsd
45933,36156,1,#9e1b34,temple
55880,55903,1,#f04f23,utrgv
52375,2729,1,#cc0000,bu
46722,29222,1,#8b1f41,asu
52714,38336,1,#8b1f41,asu
55612,31396,1,#004f30,hawaii
45933,38463,1,#9e1b34,temple
52375,2728,1,#cc0000,bu
58840,58761,1,#003091,ie
52194,42247,1,#9e1b34,temple
29407,47595,1,#fa3927,cornell
55880,55135,1,#f04f23,utrgv
49717,49421,1,#01235d,ucsd
58840,58798,1,#003091,ie
55880,55863,1,#f04f23,utrgv
29407,25378,1,#fa3927,cornell
55880,55887,1,#f04f23,utrgv
17378,27787,1,#8b1f41,asu
17378,22709,1,#8b1f41,asu
44842,55591,1,#74b1de,columbia
47262,56820,1,#f2c413,ucf
56886,40945,1,#9e1b34,temple
36820,33714,1,#8b1f41,asu
56934,40945,1,#9e1b34,temple
14271,8996,1,#ffffff,null
58998,58772,1,#003091,ie
58875,58768,1,#003091,ie
58780,58795,1,#003091,ie
58998,58753,1,#003091,ie
58875,58787,1,#003091,ie
58807,59002,1,#003091,ie
58998,58765,1,#003091,ie
55880,56008,1,#f04f23,utrgv
17378,38452,1,#8b1f41,asu
17378,23999,1,#8b1f41,asu
50288,51340,1,#01235d,ucsd
12535,8996,1,#ffffff,null
58398,58977,1,#fa3927,cornell
58875,58758,1,#003091,ie
58875,58797,1,#003091,ie
30703,55555,1,#f2c413,ucf
45196,55396,1,#9e1b34,temple
16473,5926,1,#fa3927,cornell
17378,39202,1,#8b1f41,asu
56026,45196,1,#9e1b34,temple
56065,55800,1,#f04f23,utrgv
53279,52264,1,#9e1b34,temple
29407,48839,1,#fa3927,cornell
55172,55160,1,#9e1b34,temple
8108,55768,1,#fa3927,cornell
56026,40945,1,#9e1b34,temple
25971,12811,1,#fa3927,cornell
52336,27737,1,#a61d31,harvard
56992,38560,1,#4b2e83,washington
16452,56434,1,#fa3927,cornell
57363,58398,1,#fa3927,cornell
17378,48388,1,#8b1f41,asu
52336,15110,1,#a61d31,harvard
29407,48386,1,#fa3927,cornell
52301,53515,1,#74b1de,columbia
52089,56278,1,#9e1b34,temple
56990,40945,1,#9e1b34,temple
50109,38377,1,#74b1de,columbia
45183,56579,1,#9e1b34,temple
56858,36485,1,#8b1f41,asu
56546,43780,1,#1f395a,evanstonnu
57041,45135,1,#f2c413,ucf
16604,56985,1,#8b1f41,asu
57018,50413,1,#8b1f41,asu
58769,58778,1,#003091,ie
16452,56903,1,#fa3927,cornell
56858,56489,1,#8b1f41,asu
23973,49921,1,#4b2e83,washington
52336,11893,1,#a61d31,harvard
42235,16649,1,#990000,usc
57242,51373,1,#18453b,msu
57242,57283,1,#18453b,msu
52336,12228,1,#a61d31,harvard
56858,37844,1,#8b1f41,asu
23973,27839,1,#4b2e83,washington
52336,21357,1,#a61d31,harvard
56858,46443,1,#8b1f41,asu
23973,49933,1,#4b2e83,washington
57242,53302,1,#18453b,msu
57242,52698,1,#18453b,msu
26728,10644,1,#fa3927,cornell
52336,11866,1,#a61d31,harvard
56858,23967,1,#8b1f41,asu
23973,40957,1,#4b2e83,washington
57242,57000,1,#18453b,msu
58967,53196,1,#990000,usc
12030,11866,1,#ffffff,null
44409,13974,1,#0e529a,depaul
53196,56175,1,#990000,usc
49291,37586,1,#990000,usc
28287,18654,1,#0e529a,depaul
17378,55993,1,#8b1f41,asu
55493,53321,1,#e87500,utdallas
56858,19885,1,#8b1f41,asu
56858,50413,1,#8b1f41,asu
16452,57717,1,#fa3927,cornell
57242,51856,1,#18453b,msu
42235,46828,1,#990000,usc
55493,53318,1,#e87500,utdallas
44580,42110,1,#fa3927,cornell
55493,55953,1,#e87500,utdallas
56858,46924,1,#8b1f41,asu
23973,50334,1,#4b2e83,washington
16452,25704,1,#fa3927,cornell
57242,50034,1,#18453b,msu
58763,58839,1,#003091,ie
58875,58812,1,#003091,ie
58875,58786,1,#003091,ie
57242,7028,1,#18453b,msu
23973,13297,1,#4b2e83,washington
55493,53365,1,#e87500,utdallas
56858,25354,1,#8b1f41,asu
56858,46869,1,#8b1f41,asu
16452,33407,1,#fa3927,cornell
57242,19776,1,#18453b,msu
58763,58865,1,#003091,ie
58875,58830,1,#003091,ie
30533,56428,1,#f2c413,ucf
34735,13299,1,#0e529a,depaul
55493,52570,1,#e87500,utdallas
56679,28478,1,#f2c413,ucf
37900,50856,1,#74b1de,columbia
30533,57095,1,#f2c413,ucf
56522,44816,1,#9e1b34,temple
56934,48393,1,#9e1b34,temple
57139,57140,1,#8b1f41,asu
19225,41720,1,#8b1f41,asu
20684,6093,1,#07294d,baiada
17378,56983,1,#8b1f41,asu
16452,51027,1,#fa3927,cornell
2729,58517,1,#cc0000,bu
36612,56501,1,#f1b82d,missouri
37911,58232,1,#469ed9,umanitoba
7071,14127,1,#ffffff,null
58807,58830,1,#003091,ie
55493,53131,1,#e87500,utdallas
17378,56232,1,#8b1f41,asu
56858,49457,1,#8b1f41,asu
23973,16410,1,#4b2e83,washington
55493,55249,1,#e87500,utdallas
56858,43961,1,#8b1f41,asu
17378,55915,1,#8b1f41,asu
50350,49583,1,#01235d,ucsd
58778,58754,1,#003091,ie
58778,58840,1,#003091,ie
58780,58814,1,#003091,ie
58875,58847,1,#003091,ie
57242,53305,1,#18453b,msu
55493,53135,1,#e87500,utdallas
56858,32046,1,#8b1f41,asu
56871,45096,1,#74b1de,columbia
17378,56884,1,#8b1f41,asu
23973,42217,1,#4b2e83,washington
16703,13713,1,#0e529a,depaul
57242,50033,1,#18453b,msu
55231,57573,1,#9e1b34,temple
55493,51713,1,#e87500,utdallas
