from,to,weight,Color1,Title1
59656,35726,1,#a61d31,harvard
59656,35727,1,#a61d31,harvard
59656,36291,1,#a61d31,harvard
45971,58582,1,#8b1f41,asu
59656,35619,1,#a61d31,harvard
59656,33668,1,#a61d31,harvard
59656,35106,1,#a61d31,harvard
59656,34002,1,#a61d31,harvard
59656,34001,1,#a61d31,harvard
59656,29043,1,#a61d31,harvard
59656,29040,1,#a61d31,harvard
28593,60530,1,#8b1f41,asu
57746,42262,1,#8b1f41,asu
57746,27740,1,#8b1f41,asu
60608,58743,1,#fa3927,cornell
43300,14676,1,#fa3927,cornell
60490,57390,1,#18453b,msu
59880,53174,1,#e87500,utdallas
53046,60512,1,#e87500,utdallas
60642,56879,1,#9e1b34,temple
55774,47223,1,#18453b,msu
55653,57284,1,#18453b,msu
53295,2476,1,#fa3927,cornell
55801,44816,1,#9e1b34,temple
59656,34000,1,#a61d31,harvard
60671,60670,1,#cc0000,bu
56522,60642,1,#9e1b34,temple
52646,57000,1,#18453b,msu
17378,59696,1,#8b1f41,asu
18245,60681,1,#8b1f41,asu
60681,59733,1,#8b1f41,asu
28593,16653,1,#8b1f41,asu
16586,18784,1,#8b1f41,asu
16586,59926,1,#8b1f41,asu
57088,57251,1,#18453b,msu
34735,13139,1,#0e529a,depaul
59696,60057,1,#8b1f41,asu
60716,40643,1,#74b1de,columbia
54815,40643,1,#74b1de,columbia
16631,60681,1,#8b1f41,asu
50555,51768,1,#cc0000,bu
48182,40643,1,#74b1de,columbia
57088,55774,1,#18453b,msu
59854,60701,1,#8b1f41,asu
2127,42623,1,#fa3927,cornell
2127,44933,1,#fa3927,cornell
2127,40353,1,#fa3927,cornell
2127,59735,1,#fa3927,cornell
58814,58786,1,#003091,ie
59732,51894,1,#9e1b34,temple
60753,2410,1,#f56600,clemson
60753,22068,1,#f56600,clemson
60753,28776,1,#f56600,clemson
60753,18773,1,#f56600,clemson
58065,53305,1,#18453b,msu
2127,43570,1,#fa3927,cornell
2127,43821,1,#fa3927,cornell
2127,44876,1,#fa3927,cornell
2127,43063,1,#fa3927,cornell
2127,43104,1,#fa3927,cornell
2127,42374,1,#fa3927,cornell
2127,43070,1,#fa3927,cornell
2127,25947,1,#fa3927,cornell
2127,44021,1,#fa3927,cornell
2127,24506,1,#fa3927,cornell
2127,24279,1,#fa3927,cornell
2127,43266,1,#fa3927,cornell
2127,24565,1,#fa3927,cornell
2127,43276,1,#fa3927,cornell
2127,43002,1,#fa3927,cornell
2127,37644,1,#fa3927,cornell
16586,59156,1,#8b1f41,asu
14076,38497,1,#fa3927,cornell
14076,38370,1,#fa3927,cornell
38523,50911,1,#8b1f41,asu
38523,49742,1,#8b1f41,asu
38523,7164,1,#8b1f41,asu
14076,60740,1,#fa3927,cornell
2127,58501,1,#fa3927,cornell
2127,12563,1,#fa3927,cornell
38523,23653,1,#8b1f41,asu
60753,45317,1,#f56600,clemson
38523,46461,1,#8b1f41,asu
38523,15538,1,#8b1f41,asu
38523,46422,1,#8b1f41,asu
38523,18708,1,#8b1f41,asu
38523,47555,1,#8b1f41,asu
38523,7803,1,#8b1f41,asu
60753,11579,1,#f56600,clemson
60753,38899,1,#f56600,clemson
60753,6853,1,#f56600,clemson
60753,47919,1,#f56600,clemson
60753,17395,1,#f56600,clemson
60753,37653,1,#f56600,clemson
60753,41411,1,#f56600,clemson
60753,31325,1,#f56600,clemson
60753,5634,1,#f56600,clemson
60753,58225,1,#f56600,clemson
60753,8707,1,#f56600,clemson
60753,39494,1,#f56600,clemson
60753,44470,1,#f56600,clemson
60753,8512,1,#f56600,clemson
60753,16271,1,#f56600,clemson
60753,7608,1,#f56600,clemson
60753,13170,1,#f56600,clemson
60753,36084,1,#f56600,clemson
60753,51257,1,#f56600,clemson
60753,49345,1,#f56600,clemson
60753,53444,1,#f56600,clemson
38523,3537,1,#8b1f41,asu
38523,48410,1,#8b1f41,asu
38523,33687,1,#8b1f41,asu
38523,43439,1,#8b1f41,asu
38523,47320,1,#8b1f41,asu
38523,33671,1,#8b1f41,asu
38523,24166,1,#8b1f41,asu
38523,21051,1,#8b1f41,asu
38523,50621,1,#8b1f41,asu
38523,33414,1,#8b1f41,asu
38523,17803,1,#8b1f41,asu
38523,35493,1,#8b1f41,asu
38523,9463,1,#8b1f41,asu
38523,4594,1,#8b1f41,asu
38523,47138,1,#8b1f41,asu
38523,37479,1,#8b1f41,asu
38523,17683,1,#8b1f41,asu
38523,47158,1,#8b1f41,asu
38523,18771,1,#8b1f41,asu
38523,41421,1,#8b1f41,asu
38523,14246,1,#8b1f41,asu
38523,40881,1,#8b1f41,asu
38523,28547,1,#8b1f41,asu
38523,35170,1,#8b1f41,asu
60753,16678,1,#f56600,clemson
60753,48625,1,#f56600,clemson
60753,20195,1,#f56600,clemson
60753,60078,1,#f56600,clemson
38523,8648,1,#8b1f41,asu
38523,9489,1,#8b1f41,asu
38523,16256,1,#8b1f41,asu
38523,53078,1,#8b1f41,asu
38523,28391,1,#8b1f41,asu
38523,48394,1,#8b1f41,asu
38523,12447,1,#8b1f41,asu
38523,15702,1,#8b1f41,asu
38523,40053,1,#8b1f41,asu
60088,60300,1,#01235d,ucsd
60555,60740,1,#fa3927,cornell
58398,60740,1,#fa3927,cornell
60088,49571,1,#01235d,ucsd
60806,58970,1,#e87500,utdallas
60629,40945,1,#9e1b34,temple
38523,29465,1,#8b1f41,asu
60753,35918,1,#f56600,clemson
60816,38479,1,#71002e,umt
13860,60699,1,#0e529a,depaul
60681,38497,1,#8b1f41,asu
60699,13669,1,#0e529a,depaul
45406,56879,1,#9e1b34,temple
47430,16473,1,#fa3927,cornell
57469,47223,1,#18453b,msu
48393,58933,1,#9e1b34,temple
38523,27655,1,#8b1f41,asu
38523,21551,1,#8b1f41,asu
38523,21643,1,#8b1f41,asu
38523,36905,1,#8b1f41,asu
38523,16955,1,#8b1f41,asu
38523,24494,1,#8b1f41,asu
38523,15966,1,#8b1f41,asu
10646,60704,1,#fa3927,cornell
60753,29264,1,#f56600,clemson
60753,55176,1,#f56600,clemson
60753,56622,1,#f56600,clemson
60753,51828,1,#f56600,clemson
38523,19999,1,#8b1f41,asu
38523,40267,1,#8b1f41,asu
38523,16432,1,#8b1f41,asu
38523,52597,1,#8b1f41,asu
38523,21430,1,#8b1f41,asu
38523,8013,1,#8b1f41,asu
38523,15531,1,#8b1f41,asu
38523,46773,1,#8b1f41,asu
38523,15610,1,#8b1f41,asu
38523,40043,1,#8b1f41,asu
38523,14375,1,#8b1f41,asu
60844,38523,1,#8b1f41,asu
60753,52568,1,#f56600,clemson
60753,27813,1,#f56600,clemson
60753,53234,1,#f56600,clemson
60753,49426,1,#f56600,clemson
38523,46070,1,#8b1f41,asu
38523,2557,1,#8b1f41,asu
38523,43597,1,#8b1f41,asu
38523,40393,1,#8b1f41,asu
38523,15030,1,#8b1f41,asu
38523,44056,1,#8b1f41,asu
38523,20088,1,#8b1f41,asu
38523,29611,1,#8b1f41,asu
38523,23475,1,#8b1f41,asu
38523,45194,1,#8b1f41,asu
38523,2406,1,#8b1f41,asu
38523,22175,1,#8b1f41,asu
38523,40245,1,#8b1f41,asu
38523,21653,1,#8b1f41,asu
38523,16597,1,#8b1f41,asu
38523,45196,1,#8b1f41,asu
38523,16016,1,#8b1f41,asu
38523,10760,1,#8b1f41,asu
38523,16370,1,#8b1f41,asu
38523,31381,1,#8b1f41,asu
38523,44326,1,#8b1f41,asu
38523,44595,1,#8b1f41,asu
38523,44072,1,#8b1f41,asu
38523,48578,1,#8b1f41,asu
38523,28508,1,#8b1f41,asu
38523,12467,1,#8b1f41,asu
38523,3123,1,#8b1f41,asu
38523,20559,1,#8b1f41,asu
38523,6940,1,#8b1f41,asu
38523,44961,1,#8b1f41,asu
38523,7793,1,#8b1f41,asu
38523,44573,1,#8b1f41,asu
38523,22402,1,#8b1f41,asu
38523,15887,1,#8b1f41,asu
38523,24251,1,#8b1f41,asu
38523,14825,1,#8b1f41,asu
38523,9116,1,#8b1f41,asu
38523,6976,1,#8b1f41,asu
38523,43591,1,#8b1f41,asu
38523,37445,1,#8b1f41,asu
38523,9074,1,#8b1f41,asu
38523,29412,1,#8b1f41,asu
38523,22215,1,#8b1f41,asu
38523,29502,1,#8b1f41,asu
38523,6441,1,#8b1f41,asu
38523,13290,1,#8b1f41,asu
38523,49947,1,#8b1f41,asu
38523,16584,1,#8b1f41,asu
38523,43625,1,#8b1f41,asu
38523,26073,1,#8b1f41,asu
38523,24607,1,#8b1f41,asu
38523,6726,1,#8b1f41,asu
38523,27854,1,#8b1f41,asu
38523,31797,1,#8b1f41,asu
38523,8356,1,#8b1f41,asu
38523,12898,1,#8b1f41,asu
38523,24151,1,#8b1f41,asu
38523,33418,1,#8b1f41,asu
38523,34868,1,#8b1f41,asu
38523,47295,1,#8b1f41,asu
38523,7113,1,#8b1f41,asu
38523,35197,1,#8b1f41,asu
38523,4850,1,#8b1f41,asu
38523,3588,1,#8b1f41,asu
60068,60740,1,#fa3927,cornell
60490,50034,1,#18453b,msu
60853,60750,1,#f56600,clemson
60750,60753,1,#f56600,clemson
60853,60753,1,#f56600,clemson
51856,57170,1,#18453b,msu
49573,60300,1,#01235d,ucsd
36675,24166,1,#990000,usc
36675,45235,1,#990000,usc
36675,48828,1,#990000,usc
36675,50630,1,#990000,usc
36675,22924,1,#990000,usc
51856,55687,1,#18453b,msu
60753,60072,1,#f56600,clemson
60753,45045,1,#f56600,clemson
60753,43787,1,#f56600,clemson
60753,21379,1,#f56600,clemson
60753,60367,1,#f56600,clemson
60753,8432,1,#f56600,clemson
60753,52775,1,#f56600,clemson
38523,2296,1,#8b1f41,asu
36675,37810,1,#990000,usc
36675,58173,1,#990000,usc
36675,50648,1,#990000,usc
36675,24215,1,#990000,usc
36675,35864,1,#990000,usc
36675,36701,1,#990000,usc
36675,28824,1,#990000,usc
36675,30519,1,#990000,usc
36675,35678,1,#990000,usc
36675,31332,1,#990000,usc
60753,56236,1,#f56600,clemson
60753,57815,1,#f56600,clemson
60753,7114,1,#f56600,clemson
60753,48184,1,#f56600,clemson
60753,50139,1,#f56600,clemson
60753,50751,1,#f56600,clemson
60753,12008,1,#f56600,clemson
60753,58239,1,#f56600,clemson
60753,3298,1,#f56600,clemson
60753,59523,1,#f56600,clemson
60753,43466,1,#f56600,clemson
36675,24282,1,#990000,usc
36675,48915,1,#990000,usc
36675,41019,1,#990000,usc
36675,29131,1,#990000,usc
36675,33813,1,#990000,usc
36675,44181,1,#990000,usc
36675,48590,1,#990000,usc
36675,24156,1,#990000,usc
36675,29320,1,#990000,usc
36675,42967,1,#990000,usc
36675,39208,1,#990000,usc
60753,3345,1,#f56600,clemson
36675,36850,1,#990000,usc
36675,40796,1,#990000,usc
36675,39945,1,#990000,usc
36675,39072,1,#990000,usc
36675,29556,1,#990000,usc
36675,48552,1,#990000,usc
36675,48737,1,#990000,usc
36675,28881,1,#990000,usc
36675,47531,1,#990000,usc
36675,34028,1,#990000,usc
36675,35000,1,#990000,usc
36675,52523,1,#990000,usc
36675,25506,1,#990000,usc
36675,25499,1,#990000,usc
36675,24657,1,#990000,usc
36675,48845,1,#990000,usc
36675,50821,1,#990000,usc
36675,50169,1,#990000,usc
38523,49226,1,#8b1f41,asu
36675,47064,1,#990000,usc
60862,14268,1,#0e529a,depaul
38523,8134,1,#8b1f41,asu
36675,45097,1,#990000,usc
36675,24214,1,#990000,usc
36675,55167,1,#990000,usc
36675,25390,1,#990000,usc
38523,19472,1,#8b1f41,asu
38523,13042,1,#8b1f41,asu
38523,11082,1,#8b1f41,asu
38523,18766,1,#8b1f41,asu
38523,28555,1,#8b1f41,asu
38523,45191,1,#8b1f41,asu
38523,45195,1,#8b1f41,asu
38523,44372,1,#8b1f41,asu
38523,49631,1,#8b1f41,asu
38523,44170,1,#8b1f41,asu
38523,17491,1,#8b1f41,asu
38523,47951,1,#8b1f41,asu
38523,6036,1,#8b1f41,asu
38523,16244,1,#8b1f41,asu
38523,13836,1,#8b1f41,asu
38523,6424,1,#8b1f41,asu
38523,21054,1,#8b1f41,asu
60753,47610,1,#f56600,clemson
60753,46602,1,#f56600,clemson
60753,60601,1,#f56600,clemson
60753,40307,1,#f56600,clemson
38523,24199,1,#8b1f41,asu
38523,42385,1,#8b1f41,asu
38523,12157,1,#8b1f41,asu
38523,28311,1,#8b1f41,asu
38523,24218,1,#8b1f41,asu
38523,36551,1,#8b1f41,asu
38523,3717,1,#8b1f41,asu
38523,20491,1,#8b1f41,asu
38523,22926,1,#8b1f41,asu
38523,40314,1,#8b1f41,asu
38523,40929,1,#8b1f41,asu
38523,39873,1,#8b1f41,asu
38523,2396,1,#8b1f41,asu
38523,13767,1,#8b1f41,asu
38523,10911,1,#8b1f41,asu
38523,6414,1,#8b1f41,asu
38523,15734,1,#8b1f41,asu
38523,9703,1,#8b1f41,asu
38523,6653,1,#8b1f41,asu
38523,36910,1,#8b1f41,asu
60753,11666,1,#f56600,clemson
60753,58617,1,#f56600,clemson
60753,24660,1,#f56600,clemson
60753,38002,1,#f56600,clemson
60753,19807,1,#f56600,clemson
60753,9282,1,#f56600,clemson
60753,25542,1,#f56600,clemson
60753,40108,1,#f56600,clemson
60753,8280,1,#f56600,clemson
60753,3123,1,#f56600,clemson
60753,47402,1,#f56600,clemson
60753,15015,1,#f56600,clemson
60753,49341,1,#f56600,clemson
60753,16576,1,#f56600,clemson
60753,4500,1,#f56600,clemson
60753,51856,1,#f56600,clemson
38523,14698,1,#8b1f41,asu
38523,7126,1,#8b1f41,asu
38523,25707,1,#8b1f41,asu
38523,7005,1,#8b1f41,asu
38523,35665,1,#8b1f41,asu
38523,13425,1,#8b1f41,asu
38523,38359,1,#8b1f41,asu
38523,12172,1,#8b1f41,asu
38523,5994,1,#8b1f41,asu
38523,12354,1,#8b1f41,asu
38523,7321,1,#8b1f41,asu
38523,10385,1,#8b1f41,asu
38523,46401,1,#8b1f41,asu
38523,12998,1,#8b1f41,asu
38523,47189,1,#8b1f41,asu
38523,44107,1,#8b1f41,asu
38523,24441,1,#8b1f41,asu
38523,9644,1,#8b1f41,asu
38523,41048,1,#8b1f41,asu
38523,13445,1,#8b1f41,asu
38523,7278,1,#8b1f41,asu
38523,32907,1,#8b1f41,asu
38523,41020,1,#8b1f41,asu
38523,14735,1,#8b1f41,asu
38523,36500,1,#8b1f41,asu
38523,43006,1,#8b1f41,asu
38523,6789,1,#8b1f41,asu
38523,12547,1,#8b1f41,asu
38523,6332,1,#8b1f41,asu
38523,15081,1,#8b1f41,asu
38523,5963,1,#8b1f41,asu
38523,13299,1,#8b1f41,asu
38523,10923,1,#8b1f41,asu
38523,13359,1,#8b1f41,asu
38523,2486,1,#8b1f41,asu
38523,10853,1,#8b1f41,asu
38523,6473,1,#8b1f41,asu
38523,6448,1,#8b1f41,asu
38523,7665,1,#8b1f41,asu
38523,18064,1,#8b1f41,asu
38523,6068,1,#8b1f41,asu
38523,8194,1,#8b1f41,asu
38523,29376,1,#8b1f41,asu
60862,13983,1,#0e529a,depaul
60862,24058,1,#0e529a,depaul
60862,13525,1,#0e529a,depaul
60862,14615,1,#0e529a,depaul
60862,37807,1,#0e529a,depaul
60862,38395,1,#0e529a,depaul
60862,39240,1,#0e529a,depaul
60862,39873,1,#0e529a,depaul
60862,14737,1,#0e529a,depaul
60862,42613,1,#0e529a,depaul
60753,27658,1,#f56600,clemson
60753,39044,1,#f56600,clemson
60753,5339,1,#f56600,clemson
60753,17331,1,#f56600,clemson
60862,33659,1,#0e529a,depaul
60862,13139,1,#0e529a,depaul
60862,47851,1,#0e529a,depaul
60862,14555,1,#0e529a,depaul
60862,50820,1,#0e529a,depaul
60821,40945,1,#9e1b34,temple
38523,42081,1,#8b1f41,asu
38523,29531,1,#8b1f41,asu
36675,42289,1,#990000,usc
38523,5790,1,#8b1f41,asu
38523,9759,1,#8b1f41,asu
38523,47588,1,#8b1f41,asu
38523,29404,1,#8b1f41,asu
38523,26047,1,#8b1f41,asu
60866,60753,1,#f56600,clemson
60753,50374,1,#f56600,clemson
60753,40301,1,#f56600,clemson
60753,29496,1,#f56600,clemson
60753,30465,1,#f56600,clemson
60753,37510,1,#f56600,clemson
60753,20768,1,#f56600,clemson
60866,60750,1,#f56600,clemson
38523,36508,1,#8b1f41,asu
38523,7287,1,#8b1f41,asu
38523,9169,1,#8b1f41,asu
38523,12571,1,#8b1f41,asu
38523,5791,1,#8b1f41,asu
38523,15632,1,#8b1f41,asu
38523,40103,1,#8b1f41,asu
38523,42709,1,#8b1f41,asu
38523,35466,1,#8b1f41,asu
38523,7303,1,#8b1f41,asu
38523,14893,1,#8b1f41,asu
60753,28277,1,#f56600,clemson
60753,50672,1,#f56600,clemson
60753,35997,1,#f56600,clemson
60753,24362,1,#f56600,clemson
60753,38852,1,#f56600,clemson
38523,43959,1,#8b1f41,asu
38523,29069,1,#8b1f41,asu
38523,16285,1,#8b1f41,asu
38523,9506,1,#8b1f41,asu
38523,28604,1,#8b1f41,asu
38523,49873,1,#8b1f41,asu
38523,28656,1,#8b1f41,asu
38523,35592,1,#8b1f41,asu
38523,22787,1,#8b1f41,asu
38523,17010,1,#8b1f41,asu
38523,15360,1,#8b1f41,asu
38523,16197,1,#8b1f41,asu
38523,6478,1,#8b1f41,asu
38523,15119,1,#8b1f41,asu
38523,16078,1,#8b1f41,asu
38523,11720,1,#8b1f41,asu
38523,25496,1,#8b1f41,asu
38523,9041,1,#8b1f41,asu
38523,40626,1,#8b1f41,asu
38523,9050,1,#8b1f41,asu
38523,45784,1,#8b1f41,asu
38523,48393,1,#8b1f41,asu
38523,36450,1,#8b1f41,asu
38523,8205,1,#8b1f41,asu
38523,36140,1,#8b1f41,asu
38523,34768,1,#8b1f41,asu
38523,44519,1,#8b1f41,asu
38523,37615,1,#8b1f41,asu
38523,13983,1,#8b1f41,asu
38523,59357,1,#8b1f41,asu
38523,52693,1,#8b1f41,asu
38523,59304,1,#8b1f41,asu
38523,49468,1,#8b1f41,asu
38523,51275,1,#8b1f41,asu
38523,53361,1,#8b1f41,asu
38523,31499,1,#8b1f41,asu
38523,7140,1,#8b1f41,asu
60753,12601,1,#f56600,clemson
60753,1694,1,#f56600,clemson
60753,52731,1,#f56600,clemson
60753,2056,1,#f56600,clemson
60753,53470,1,#f56600,clemson
38523,59164,1,#8b1f41,asu
38523,14635,1,#8b1f41,asu
38523,24132,1,#8b1f41,asu
38523,26013,1,#8b1f41,asu
38523,60451,1,#8b1f41,asu
38523,47336,1,#8b1f41,asu
60753,40139,1,#f56600,clemson
60753,13551,1,#f56600,clemson
60753,45421,1,#f56600,clemson
60753,20322,1,#f56600,clemson
60753,3045,1,#f56600,clemson
60753,25375,1,#f56600,clemson
60753,10678,1,#f56600,clemson
60753,36937,1,#f56600,clemson
60753,10647,1,#f56600,clemson
60753,50800,1,#f56600,clemson
60753,40366,1,#f56600,clemson
60753,43719,1,#f56600,clemson
60753,51695,1,#f56600,clemson
60753,39302,1,#f56600,clemson
60753,13835,1,#f56600,clemson
60753,31283,1,#f56600,clemson
60753,43716,1,#f56600,clemson
60753,27831,1,#f56600,clemson
60753,46920,1,#f56600,clemson
60753,22767,1,#f56600,clemson
60753,39981,1,#f56600,clemson
60753,17399,1,#f56600,clemson
60753,49303,1,#f56600,clemson
60753,1887,1,#f56600,clemson
60753,30225,1,#f56600,clemson
60753,36381,1,#f56600,clemson
60753,57510,1,#f56600,clemson
60753,37685,1,#f56600,clemson
60753,46508,1,#f56600,clemson
60753,47847,1,#f56600,clemson
60753,44526,1,#f56600,clemson
60753,27845,1,#f56600,clemson
60753,49678,1,#f56600,clemson
60753,52099,1,#f56600,clemson
60753,46424,1,#f56600,clemson
60753,27844,1,#f56600,clemson
60753,48610,1,#f56600,clemson
60753,44605,1,#f56600,clemson
60753,44421,1,#f56600,clemson
60753,44431,1,#f56600,clemson
60753,44364,1,#f56600,clemson
60753,58228,1,#f56600,clemson
60753,59529,1,#f56600,clemson
60753,48994,1,#f56600,clemson
60753,19998,1,#f56600,clemson
60753,45292,1,#f56600,clemson
60753,30822,1,#f56600,clemson
60753,15294,1,#f56600,clemson
60753,27351,1,#f56600,clemson
60753,6382,1,#f56600,clemson
60753,43987,1,#f56600,clemson
60753,46445,1,#f56600,clemson
60753,31002,1,#f56600,clemson
60753,57818,1,#f56600,clemson
60753,11870,1,#f56600,clemson
60753,38965,1,#f56600,clemson
60753,12104,1,#f56600,clemson
60753,60718,1,#f56600,clemson
60753,17379,1,#f56600,clemson
60753,39503,1,#f56600,clemson
60753,38302,1,#f56600,clemson
60753,34089,1,#f56600,clemson
60753,2799,1,#f56600,clemson
60753,14950,1,#f56600,clemson
60753,6499,1,#f56600,clemson
60753,11975,1,#f56600,clemson
60753,36883,1,#f56600,clemson
60753,7025,1,#f56600,clemson
60753,40300,1,#f56600,clemson
60753,38984,1,#f56600,clemson
60753,39987,1,#f56600,clemson
60753,39051,1,#f56600,clemson
60753,45360,1,#f56600,clemson
60753,5960,1,#f56600,clemson
60753,30872,1,#f56600,clemson
60753,22772,1,#f56600,clemson
60753,15522,1,#f56600,clemson
60753,17551,1,#f56600,clemson
60753,10375,1,#f56600,clemson
60753,24360,1,#f56600,clemson
60753,59158,1,#f56600,clemson
60753,57843,1,#f56600,clemson
60753,47952,1,#f56600,clemson
60753,58863,1,#f56600,clemson
60753,48989,1,#f56600,clemson
60753,57978,1,#f56600,clemson
60753,55896,1,#f56600,clemson
60753,7231,1,#f56600,clemson
60753,23482,1,#f56600,clemson
60753,28377,1,#f56600,clemson
60753,14134,1,#f56600,clemson
60753,44054,1,#f56600,clemson
60753,24587,1,#f56600,clemson
60753,27627,1,#f56600,clemson
60753,58513,1,#f56600,clemson
60753,13718,1,#f56600,clemson
60753,19451,1,#f56600,clemson
60753,3419,1,#f56600,clemson
60753,48632,1,#f56600,clemson
60753,3267,1,#f56600,clemson
60753,33521,1,#f56600,clemson
60753,23924,1,#f56600,clemson
60753,44860,1,#f56600,clemson
60753,12557,1,#f56600,clemson
60753,26023,1,#f56600,clemson
60753,14093,1,#f56600,clemson
60753,25325,1,#f56600,clemson
60753,3715,1,#f56600,clemson
60753,9080,1,#f56600,clemson
60753,5685,1,#f56600,clemson
60753,13021,1,#f56600,clemson
60753,5215,1,#f56600,clemson
60753,53546,1,#f56600,clemson
60753,60823,1,#f56600,clemson
60753,13522,1,#f56600,clemson
60753,57563,1,#f56600,clemson
60753,7101,1,#f56600,clemson
60753,6779,1,#f56600,clemson
60753,33595,1,#f56600,clemson
60753,15030,1,#f56600,clemson
60753,57709,1,#f56600,clemson
60753,47205,1,#f56600,clemson
60753,3716,1,#f56600,clemson
60753,6663,1,#f56600,clemson
60753,48450,1,#f56600,clemson
60753,16805,1,#f56600,clemson
60753,52478,1,#f56600,clemson
60753,48546,1,#f56600,clemson
60753,55802,1,#f56600,clemson
60753,42288,1,#f56600,clemson
60753,31024,1,#f56600,clemson
60753,5175,1,#f56600,clemson
60753,40447,1,#f56600,clemson
60753,49820,1,#f56600,clemson
60753,6757,1,#f56600,clemson
60753,7490,1,#f56600,clemson
60753,35350,1,#f56600,clemson
60753,12138,1,#f56600,clemson
60753,48817,1,#f56600,clemson
60753,15932,1,#f56600,clemson
60753,3668,1,#f56600,clemson
60753,15007,1,#f56600,clemson
60753,49532,1,#f56600,clemson
60753,8178,1,#f56600,clemson
60753,8289,1,#f56600,clemson
60753,4126,1,#f56600,clemson
60753,34986,1,#f56600,clemson
60753,4110,1,#f56600,clemson
60753,52319,1,#f56600,clemson
60753,16569,1,#f56600,clemson
60753,58459,1,#f56600,clemson
60753,2293,1,#f56600,clemson
60753,12976,1,#f56600,clemson
60753,50726,1,#f56600,clemson
60753,46815,1,#f56600,clemson
60753,7876,1,#f56600,clemson
60753,3364,1,#f56600,clemson
60753,55245,1,#f56600,clemson
60753,51208,1,#f56600,clemson
60753,51928,1,#f56600,clemson
60753,47255,1,#f56600,clemson
60753,45593,1,#f56600,clemson
60753,59954,1,#f56600,clemson
60753,11955,1,#f56600,clemson
60753,58374,1,#f56600,clemson
60753,20503,1,#f56600,clemson
60753,15887,1,#f56600,clemson
60753,10214,1,#f56600,clemson
60753,6486,1,#f56600,clemson
60753,4306,1,#f56600,clemson
60753,4922,1,#f56600,clemson
60753,50242,1,#f56600,clemson
60753,5687,1,#f56600,clemson
60753,6365,1,#f56600,clemson
60753,2100,1,#f56600,clemson
60753,5559,1,#f56600,clemson
60753,15179,1,#f56600,clemson
60753,5477,1,#f56600,clemson
60753,13423,1,#f56600,clemson
60753,3040,1,#f56600,clemson
60753,18708,1,#f56600,clemson
60753,2732,1,#f56600,clemson
60753,20071,1,#f56600,clemson
60753,20310,1,#f56600,clemson
60753,2508,1,#f56600,clemson
60753,58339,1,#f56600,clemson
60753,10455,1,#f56600,clemson
60753,5695,1,#f56600,clemson
60753,40431,1,#f56600,clemson
60753,13645,1,#f56600,clemson
60753,11897,1,#f56600,clemson
60753,20153,1,#f56600,clemson
60753,3443,1,#f56600,clemson
60753,59506,1,#f56600,clemson
60753,22968,1,#f56600,clemson
60753,49477,1,#f56600,clemson
60753,40437,1,#f56600,clemson
60753,23909,1,#f56600,clemson
60753,55201,1,#f56600,clemson
60753,21552,1,#f56600,clemson
60753,4079,1,#f56600,clemson
60753,42344,1,#f56600,clemson
60753,14654,1,#f56600,clemson
60753,16431,1,#f56600,clemson
60753,45526,1,#f56600,clemson
60753,57218,1,#f56600,clemson
60753,59081,1,#f56600,clemson
60753,42937,1,#f56600,clemson
60753,2213,1,#f56600,clemson
60753,4214,1,#f56600,clemson
60753,2667,1,#f56600,clemson
60753,6050,1,#f56600,clemson
60753,5643,1,#f56600,clemson
60753,13776,1,#f56600,clemson
60753,11026,1,#f56600,clemson
60753,4807,1,#f56600,clemson
60753,16836,1,#f56600,clemson
60753,9396,1,#f56600,clemson
60753,16491,1,#f56600,clemson
60753,5831,1,#f56600,clemson
60753,46509,1,#f56600,clemson
60753,41039,1,#f56600,clemson
60753,20249,1,#f56600,clemson
60753,36254,1,#f56600,clemson
60753,13638,1,#f56600,clemson
60753,11072,1,#f56600,clemson
60753,25758,1,#f56600,clemson
60753,52358,1,#f56600,clemson
60753,47191,1,#f56600,clemson
60753,24284,1,#f56600,clemson
60753,34996,1,#f56600,clemson
60753,9890,1,#f56600,clemson
60753,35808,1,#f56600,clemson
60753,35976,1,#f56600,clemson
60753,45419,1,#f56600,clemson
60753,36746,1,#f56600,clemson
60753,47330,1,#f56600,clemson
60753,28800,1,#f56600,clemson
60753,12051,1,#f56600,clemson
60753,53174,1,#f56600,clemson
60753,31122,1,#f56600,clemson
60753,29143,1,#f56600,clemson
60753,13389,1,#f56600,clemson
60753,40066,1,#f56600,clemson
60753,41493,1,#f56600,clemson
60753,8879,1,#f56600,clemson
60753,40469,1,#f56600,clemson
60753,60364,1,#f56600,clemson
60753,15387,1,#f56600,clemson
60753,21562,1,#f56600,clemson
60753,25687,1,#f56600,clemson
60753,12338,1,#f56600,clemson
60753,21136,1,#f56600,clemson
60753,40148,1,#f56600,clemson
60753,10530,1,#f56600,clemson
60753,5661,1,#f56600,clemson
60753,39596,1,#f56600,clemson
60753,4736,1,#f56600,clemson
60753,4605,1,#f56600,clemson
60753,12586,1,#f56600,clemson
60753,6381,1,#f56600,clemson
60753,14071,1,#f56600,clemson
60753,3524,1,#f56600,clemson
60753,41468,1,#f56600,clemson
60753,7521,1,#f56600,clemson
60753,3832,1,#f56600,clemson
60753,5471,1,#f56600,clemson
60753,4311,1,#f56600,clemson
60753,2434,1,#f56600,clemson
60753,34793,1,#f56600,clemson
60753,44665,1,#f56600,clemson
60753,5205,1,#f56600,clemson
60753,7996,1,#f56600,clemson
